interaction_id,data_chamada,cliente_id,canal,motivo,submotivo,duracao_segundos,satisfacao,agente,duracao_minutos,ano_mes,chamada_longa
20,2025-12-04 01:38:02.330166,80381,CHAT,FATURAMENTO,2ª VIA,1634,3,ANA SILVA,27.23,2025-12,True
21,2025-07-24 18:57:02.330166,69470,VOZ,CANCELAMENTO,VALOR ALTO,1538,3,FERNANDA COSTA,25.63,2025-07,True
22,2025-12-09 03:16:02.330166,23947,WHATSAPP,SUPORTE TECNICO,INSTABILIDADE,671,5,FERNANDA COSTA,11.18,2025-12,True
23,2025-09-02 01:36:02.330166,31174,WHATSAPP,SUPORTE TECNICO,SEM SINAL,1654,5,ANA SILVA,27.57,2025-09,True
24,2025-06-29 13:02:02.330166,24662,CHAT,CANCELAMENTO,VALOR ALTO,1763,3,JOAO SANTOS,29.38,2025-06,True
25,2025-12-02 20:01:02.330166,84364,VOZ,FATURAMENTO,BOLETO,235,4,ANA SILVA,3.92,2025-12,False
26,2025-10-24 02:26:02.330166,72296,WHATSAPP,SUPORTE TECNICO,NA,398,3,FERNANDA COSTA,6.63,2025-10,False
27,2025-12-12 02:26:02.330166,80686,WHATSAPP,INFORMACOES,PLANO,1472,2,PAULO ROCHA,24.53,2025-12,True
28,2025-10-26 06:35:02.330166,95180,CHAT,CANCELAMENTO,VALOR ALTO,957,5,CARLOS LIMA,15.95,2025-10,True
29,2025-08-05 21:40:02.330166,18392,CHAT,FATURAMENTO,BOLETO,103,5,FERNANDA COSTA,1.72,2025-08,False
30,2025-08-05 02:05:02.330166,10942,VOZ,SUPORTE TECNICO,INSTABILIDADE,1509,1,JOAO SANTOS,25.15,2025-08,True
31,2025-11-29 11:45:02.330166,53309,VOZ,FATURAMENTO,BOLETO,1112,2,MARIA OLIVEIRA,18.53,2025-11,True
32,2025-10-02 03:53:02.330166,27342,WHATSAPP,INFORMACOES,PLANO,1229,5,CARLOS LIMA,20.48,2025-10,True
33,2025-11-19 23:57:02.330166,63354,VOZ,SUPORTE TECNICO,LENTIDAO,253,1,PAULO ROCHA,4.22,2025-11,False
34,2025-09-11 02:35:02.330166,63883,CHAT,INFORMACOES,PROMOCAO,1553,1,PAULO ROCHA,25.88,2025-09,True
35,2025-09-07 07:01:02.330166,54473,VOZ,FATURAMENTO,BOLETO,569,2,JOAO SANTOS,9.48,2025-09,False
36,2025-09-10 19:10:02.330166,34050,CHAT,INFORMACOES,PLANO,1007,2,ANA SILVA,16.78,2025-09,True
37,2025-07-13 19:43:02.330166,16630,WHATSAPP,INFORMACOES,COBERTURA,1167,1,ANA SILVA,19.45,2025-07,True
38,2025-09-07 23:36:02.330166,73653,CHAT,SUPORTE TECNICO,SEM SINAL,497,4,ANA SILVA,8.28,2025-09,False
39,2025-06-26 09:22:02.330166,61173,CHAT,SUPORTE TECNICO,NA,1665,4,MARIA OLIVEIRA,27.75,2025-06,True
40,2025-12-17 06:32:02.330166,82845,WHATSAPP,INFORMACOES,COBERTURA,1531,4,JOAO SANTOS,25.52,2025-12,True
41,2025-08-04 15:05:02.330166,17665,WHATSAPP,SUPORTE TECNICO,LENTIDAO,1566,5,ANA SILVA,26.1,2025-08,True
42,2025-07-05 03:01:02.330166,86569,CHAT,CANCELAMENTO,DESISTENCIA,1089,5,JOAO SANTOS,18.15,2025-07,True
43,2025-07-10 13:57:02.330166,34356,VOZ,FATURAMENTO,2ª VIA,1278,1,PAULO ROCHA,21.3,2025-07,True
44,2025-07-17 19:44:02.330166,84668,VOZ,SUPORTE TECNICO,LENTIDAO,1245,5,ANA SILVA,20.75,2025-07,True
45,2025-10-23 16:03:02.330166,86503,WHATSAPP,FATURAMENTO,VALOR INDEVIDO,1130,3,MARIA OLIVEIRA,18.83,2025-10,True
46,2025-11-03 09:02:02.330166,51180,VOZ,SUPORTE TECNICO,INSTABILIDADE,603,4,JOAO SANTOS,10.05,2025-11,True
47,2025-08-22 13:20:02.330166,19508,VOZ,CANCELAMENTO,VALOR ALTO,998,5,FERNANDA COSTA,16.63,2025-08,True
48,2025-10-01 20:54:02.330166,37938,WHATSAPP,FATURAMENTO,BOLETO,603,2,MARIA OLIVEIRA,10.05,2025-10,True
49,2025-09-01 06:26:02.330166,47353,VOZ,FATURAMENTO,BOLETO,957,5,PAULO ROCHA,15.95,2025-09,True
50,2025-10-25 13:53:02.330166,82692,CHAT,CANCELAMENTO,DESISTENCIA,1418,1,JOAO SANTOS,23.63,2025-10,True
51,2025-12-04 23:09:02.330166,24029,WHATSAPP,CANCELAMENTO,DESISTENCIA,1193,2,MARIA OLIVEIRA,19.88,2025-12,True
52,2025-11-03 15:14:02.330166,54942,VOZ,CANCELAMENTO,DESISTENCIA,1467,3,FERNANDA COSTA,24.45,2025-11,True
53,2025-12-07 19:25:02.330166,16658,VOZ,INFORMACOES,PROMOCAO,1359,4,MARIA OLIVEIRA,22.65,2025-12,True
54,2025-08-25 17:16:02.330166,27146,WHATSAPP,FATURAMENTO,BOLETO,596,2,PAULO ROCHA,9.93,2025-08,False
55,2025-11-01 11:03:02.330166,66057,WHATSAPP,INFORMACOES,COBERTURA,79,1,ANA SILVA,1.32,2025-11,False
56,2025-07-02 13:21:02.330166,58393,WHATSAPP,SUPORTE TECNICO,INSTABILIDADE,1191,2,CARLOS LIMA,19.85,2025-07,True
57,2025-08-21 02:45:02.330166,57795,VOZ,SUPORTE TECNICO,SEM SINAL,792,2,PAULO ROCHA,13.2,2025-08,True
58,2025-07-14 17:03:02.330166,56357,WHATSAPP,SUPORTE TECNICO,INSTABILIDADE,892,5,PAULO ROCHA,14.87,2025-07,True
59,2025-11-30 09:28:02.330166,31299,VOZ,SUPORTE TECNICO,SEM SINAL,904,1,JOAO SANTOS,15.07,2025-11,True
60,2025-11-19 00:58:02.330166,97806,WHATSAPP,CANCELAMENTO,VALOR ALTO,1720,2,MARIA OLIVEIRA,28.67,2025-11,True
61,2025-07-15 16:13:02.330166,60140,VOZ,SUPORTE TECNICO,INSTABILIDADE,1023,2,JOAO SANTOS,17.05,2025-07,True
62,2025-08-20 13:20:02.330166,39831,VOZ,INFORMACOES,PROMOCAO,108,2,CARLOS LIMA,1.8,2025-08,False
63,2025-11-30 08:21:02.330166,19099,CHAT,CANCELAMENTO,VALOR ALTO,779,5,CARLOS LIMA,12.98,2025-11,True
64,2025-07-16 23:53:02.330166,44237,VOZ,CANCELAMENTO,DESISTENCIA,1249,3,ANA SILVA,20.82,2025-07,True
65,2025-09-13 02:35:02.330166,55309,WHATSAPP,FATURAMENTO,2ª VIA,1670,3,CARLOS LIMA,27.83,2025-09,True
66,2025-12-06 17:56:02.330166,85574,VOZ,FATURAMENTO,VALOR INDEVIDO,581,1,PAULO ROCHA,9.68,2025-12,False
67,2025-09-28 15:30:02.330166,80575,WHATSAPP,INFORMACOES,PLANO,1533,2,MARIA OLIVEIRA,25.55,2025-09,True
68,2025-12-15 17:38:02.330166,97062,CHAT,INFORMACOES,PLANO,1336,3,PAULO ROCHA,22.27,2025-12,True
69,2025-12-06 20:18:02.330166,49363,WHATSAPP,FATURAMENTO,2ª VIA,693,4,MARIA OLIVEIRA,11.55,2025-12,True
70,2025-08-18 19:41:02.330166,82667,VOZ,INFORMACOES,COBERTURA,452,4,PAULO ROCHA,7.53,2025-08,False
71,2025-11-09 04:35:02.330166,32810,WHATSAPP,INFORMACOES,COBERTURA,1225,3,CARLOS LIMA,20.42,2025-11,True
72,2025-08-17 05:29:02.330166,37549,CHAT,FATURAMENTO,VALOR INDEVIDO,1669,5,FERNANDA COSTA,27.82,2025-08,True
73,2025-09-14 10:08:02.330166,67954,WHATSAPP,CANCELAMENTO,NA,497,5,CARLOS LIMA,8.28,2025-09,False
74,2025-07-11 10:25:02.330166,47196,WHATSAPP,SUPORTE TECNICO,INSTABILIDADE,1419,5,MARIA OLIVEIRA,23.65,2025-07,True
75,2025-10-26 11:26:02.330166,50687,VOZ,FATURAMENTO,BOLETO,1711,2,JOAO SANTOS,28.52,2025-10,True
76,2025-08-09 13:41:02.330166,72277,WHATSAPP,FATURAMENTO,BOLETO,1800,1,CARLOS LIMA,30.0,2025-08,True
77,2025-10-08 19:05:02.330166,35485,WHATSAPP,INFORMACOES,COBERTURA,1486,4,CARLOS LIMA,24.77,2025-10,True
78,2025-07-22 20:41:02.330166,95990,WHATSAPP,INFORMACOES,PLANO,71,1,CARLOS LIMA,1.18,2025-07,False
79,2025-11-19 09:09:02.330166,77889,CHAT,SUPORTE TECNICO,SEM SINAL,162,5,JOAO SANTOS,2.7,2025-11,False
80,2025-07-20 06:31:02.330166,70901,WHATSAPP,FATURAMENTO,NA,1147,5,FERNANDA COSTA,19.12,2025-07,True
81,2025-10-15 12:40:02.330166,76162,CHAT,CANCELAMENTO,VALOR ALTO,1761,5,CARLOS LIMA,29.35,2025-10,True
82,2025-11-29 19:52:02.330166,72216,CHAT,SUPORTE TECNICO,INSTABILIDADE,590,2,PAULO ROCHA,9.83,2025-11,False
83,2025-10-18 02:15:02.330166,41358,CHAT,CANCELAMENTO,VALOR ALTO,960,1,PAULO ROCHA,16.0,2025-10,True
84,2025-08-14 11:05:02.330166,54020,CHAT,CANCELAMENTO,DESISTENCIA,1166,1,JOAO SANTOS,19.43,2025-08,True
85,2025-09-03 17:27:02.330166,30028,WHATSAPP,SUPORTE TECNICO,SEM SINAL,498,1,CARLOS LIMA,8.3,2025-09,False
86,2025-10-02 18:39:02.330166,71069,CHAT,INFORMACOES,PROMOCAO,187,2,CARLOS LIMA,3.12,2025-10,False
87,2025-12-15 05:21:02.330166,12560,WHATSAPP,INFORMACOES,COBERTURA,839,4,ANA SILVA,13.98,2025-12,True
88,2025-11-10 03:55:02.330166,61116,CHAT,CANCELAMENTO,VALOR ALTO,1162,5,FERNANDA COSTA,19.37,2025-11,True
89,2025-08-04 22:37:02.330166,45774,CHAT,SUPORTE TECNICO,LENTIDAO,1054,1,CARLOS LIMA,17.57,2025-08,True
90,2025-11-04 19:56:02.330166,31632,CHAT,CANCELAMENTO,VALOR ALTO,321,5,FERNANDA COSTA,5.35,2025-11,False
91,2025-10-11 17:58:02.330166,83975,WHATSAPP,FATURAMENTO,VALOR INDEVIDO,115,1,PAULO ROCHA,1.92,2025-10,False
92,2025-11-30 19:16:02.330166,70515,VOZ,INFORMACOES,PLANO,162,3,CARLOS LIMA,2.7,2025-11,False
93,2025-09-16 18:33:02.330166,52840,CHAT,CANCELAMENTO,DESISTENCIA,1618,4,MARIA OLIVEIRA,26.97,2025-09,True
94,2025-11-24 23:43:02.330166,20735,CHAT,INFORMACOES,PROMOCAO,99,5,ANA SILVA,1.65,2025-11,False
95,2025-10-22 08:28:02.330166,18993,WHATSAPP,CANCELAMENTO,DESISTENCIA,142,1,JOAO SANTOS,2.37,2025-10,False
96,2025-10-17 02:36:02.330166,29973,VOZ,SUPORTE TECNICO,SEM SINAL,318,4,PAULO ROCHA,5.3,2025-10,False
97,2025-12-15 12:45:02.330166,38569,CHAT,FATURAMENTO,2ª VIA,1492,3,MARIA OLIVEIRA,24.87,2025-12,True
98,2025-10-14 13:03:02.330166,25012,VOZ,SUPORTE TECNICO,INSTABILIDADE,697,1,FERNANDA COSTA,11.62,2025-10,True
99,2025-10-08 19:38:02.330166,98781,CHAT,FATURAMENTO,VALOR INDEVIDO,872,2,ANA SILVA,14.53,2025-10,True
100,2025-10-30 22:01:02.330166,49529,WHATSAPP,SUPORTE TECNICO,SEM SINAL,1289,1,FERNANDA COSTA,21.48,2025-10,True
101,2025-09-30 23:32:02.330166,66148,WHATSAPP,FATURAMENTO,VALOR INDEVIDO,818,1,FERNANDA COSTA,13.63,2025-09,True
102,2025-11-27 15:48:02.330166,65057,CHAT,CANCELAMENTO,DESISTENCIA,276,4,MARIA OLIVEIRA,4.6,2025-11,False
103,2025-07-23 20:22:02.330166,67080,VOZ,INFORMACOES,COBERTURA,1562,5,PAULO ROCHA,26.03,2025-07,True
104,2025-09-18 15:00:02.330166,67091,WHATSAPP,CANCELAMENTO,VALOR ALTO,1273,3,MARIA OLIVEIRA,21.22,2025-09,True
105,2025-08-15 18:36:02.330166,69087,VOZ,SUPORTE TECNICO,SEM SINAL,1596,4,FERNANDA COSTA,26.6,2025-08,True
106,2025-07-01 05:20:02.330166,74789,CHAT,INFORMACOES,PROMOCAO,432,4,JOAO SANTOS,7.2,2025-07,False
107,2025-08-26 22:54:02.330166,46655,WHATSAPP,CANCELAMENTO,VALOR ALTO,1496,3,FERNANDA COSTA,24.93,2025-08,True
108,2025-12-15 14:05:02.330166,35042,VOZ,FATURAMENTO,2ª VIA,554,4,CARLOS LIMA,9.23,2025-12,False
109,2025-09-20 16:01:02.330166,94659,WHATSAPP,SUPORTE TECNICO,INSTABILIDADE,1065,4,ANA SILVA,17.75,2025-09,True
110,2025-08-05 08:07:02.330166,63005,WHATSAPP,FATURAMENTO,VALOR INDEVIDO,558,3,PAULO ROCHA,9.3,2025-08,False
111,2025-10-04 18:06:02.330166,79588,CHAT,CANCELAMENTO,VALOR ALTO,931,5,MARIA OLIVEIRA,15.52,2025-10,True
112,2025-08-14 07:36:02.330166,50189,CHAT,CANCELAMENTO,VALOR ALTO,532,1,PAULO ROCHA,8.87,2025-08,False
113,2025-07-17 18:17:02.330166,80236,WHATSAPP,SUPORTE TECNICO,LENTIDAO,439,2,JOAO SANTOS,7.32,2025-07,False
114,2025-11-04 21:42:02.330166,87278,WHATSAPP,INFORMACOES,PROMOCAO,1282,3,ANA SILVA,21.37,2025-11,True
115,2025-08-06 09:50:02.330166,57301,VOZ,SUPORTE TECNICO,LENTIDAO,679,1,PAULO ROCHA,11.32,2025-08,True
116,2025-07-04 06:48:02.330166,17146,WHATSAPP,SUPORTE TECNICO,LENTIDAO,658,2,PAULO ROCHA,10.97,2025-07,True
117,2025-12-01 20:55:02.330166,11607,WHATSAPP,INFORMACOES,PLANO,642,4,CARLOS LIMA,10.7,2025-12,True
118,2025-07-29 13:26:02.330166,16734,CHAT,INFORMACOES,PROMOCAO,1038,1,ANA SILVA,17.3,2025-07,True
119,2025-07-09 11:37:02.330166,85631,WHATSAPP,INFORMACOES,PROMOCAO,1465,1,JOAO SANTOS,24.42,2025-07,True
120,2025-12-15 18:44:02.330166,49824,VOZ,SUPORTE TECNICO,INSTABILIDADE,568,1,FERNANDA COSTA,9.47,2025-12,False
121,2025-10-12 12:28:02.330166,91057,VOZ,INFORMACOES,COBERTURA,1648,5,CARLOS LIMA,27.47,2025-10,True
122,2025-08-19 03:06:02.330166,87139,CHAT,INFORMACOES,PROMOCAO,685,5,FERNANDA COSTA,11.42,2025-08,True
123,2025-12-17 18:43:02.330166,23006,VOZ,FATURAMENTO,2ª VIA,1341,2,MARIA OLIVEIRA,22.35,2025-12,True
124,2025-08-08 15:56:02.330166,32782,WHATSAPP,FATURAMENTO,BOLETO,213,2,ANA SILVA,3.55,2025-08,False
125,2025-10-29 11:51:02.330166,87832,CHAT,INFORMACOES,PROMOCAO,656,1,JOAO SANTOS,10.93,2025-10,True
126,2025-10-31 23:20:02.330166,69510,VOZ,CANCELAMENTO,VALOR ALTO,1467,2,MARIA OLIVEIRA,24.45,2025-10,True
127,2025-07-16 21:24:02.330166,81376,VOZ,SUPORTE TECNICO,LENTIDAO,1386,2,MARIA OLIVEIRA,23.1,2025-07,True
128,2025-07-06 20:30:02.330166,31747,CHAT,SUPORTE TECNICO,SEM SINAL,1278,5,MARIA OLIVEIRA,21.3,2025-07,True
129,2025-09-19 07:43:02.330166,49857,WHATSAPP,INFORMACOES,PLANO,884,3,FERNANDA COSTA,14.73,2025-09,True
130,2025-07-10 15:24:02.330166,88385,VOZ,INFORMACOES,PROMOCAO,944,3,FERNANDA COSTA,15.73,2025-07,True
131,2025-07-12 14:57:02.330166,40005,WHATSAPP,CANCELAMENTO,DESISTENCIA,1772,5,FERNANDA COSTA,29.53,2025-07,True
132,2025-11-22 12:47:02.330166,45325,WHATSAPP,FATURAMENTO,2ª VIA,142,2,CARLOS LIMA,2.37,2025-11,False
133,2025-07-29 00:53:02.330166,86720,CHAT,INFORMACOES,PROMOCAO,1360,4,ANA SILVA,22.67,2025-07,True
134,2025-09-08 08:03:02.330166,53687,CHAT,INFORMACOES,PROMOCAO,1432,1,JOAO SANTOS,23.87,2025-09,True
135,2025-10-30 06:39:02.330166,74942,CHAT,CANCELAMENTO,VALOR ALTO,1416,4,FERNANDA COSTA,23.6,2025-10,True
136,2025-07-12 00:41:02.330166,51224,CHAT,FATURAMENTO,VALOR INDEVIDO,722,1,CARLOS LIMA,12.03,2025-07,True
137,2025-12-01 06:16:02.330166,81118,CHAT,FATURAMENTO,2ª VIA,906,1,JOAO SANTOS,15.1,2025-12,True
138,2025-10-17 20:24:02.330166,67939,VOZ,CANCELAMENTO,VALOR ALTO,476,3,FERNANDA COSTA,7.93,2025-10,False
139,2025-09-13 18:06:02.330166,73532,VOZ,SUPORTE TECNICO,LENTIDAO,119,5,JOAO SANTOS,1.98,2025-09,False
140,2025-10-04 06:36:02.330166,11792,WHATSAPP,SUPORTE TECNICO,LENTIDAO,895,1,JOAO SANTOS,14.92,2025-10,True
141,2025-12-15 09:43:02.330166,25396,WHATSAPP,FATURAMENTO,VALOR INDEVIDO,1764,2,CARLOS LIMA,29.4,2025-12,True
142,2025-09-09 15:15:02.330166,73242,CHAT,CANCELAMENTO,VALOR ALTO,559,4,FERNANDA COSTA,9.32,2025-09,False
143,2025-07-30 16:44:02.330166,88561,WHATSAPP,SUPORTE TECNICO,LENTIDAO,1588,2,ANA SILVA,26.47,2025-07,True
144,2025-08-26 20:53:02.330166,76550,CHAT,CANCELAMENTO,VALOR ALTO,1740,1,MARIA OLIVEIRA,29.0,2025-08,True
145,2025-11-30 12:19:02.330166,29476,CHAT,CANCELAMENTO,VALOR ALTO,1163,4,MARIA OLIVEIRA,19.38,2025-11,True
146,2025-09-16 21:22:02.330166,52176,VOZ,CANCELAMENTO,VALOR ALTO,1488,2,FERNANDA COSTA,24.8,2025-09,True
147,2025-11-28 19:55:02.330166,63841,VOZ,INFORMACOES,PLANO,711,4,PAULO ROCHA,11.85,2025-11,True
148,2025-12-22 22:23:02.330166,96991,WHATSAPP,INFORMACOES,PROMOCAO,371,4,ANA SILVA,6.18,2025-12,False
149,2025-12-18 17:38:02.330166,87356,CHAT,SUPORTE TECNICO,INSTABILIDADE,265,4,ANA SILVA,4.42,2025-12,False
150,2025-11-04 12:21:02.330166,28894,CHAT,INFORMACOES,PLANO,1400,2,ANA SILVA,23.33,2025-11,True
151,2025-08-26 15:08:02.330166,91691,WHATSAPP,INFORMACOES,PROMOCAO,874,1,MARIA OLIVEIRA,14.57,2025-08,True
152,2025-10-18 02:28:02.330166,73956,WHATSAPP,INFORMACOES,PROMOCAO,133,5,ANA SILVA,2.22,2025-10,False
153,2025-10-28 14:08:02.330166,47667,VOZ,SUPORTE TECNICO,INSTABILIDADE,1589,1,CARLOS LIMA,26.48,2025-10,True
154,2025-11-01 03:17:02.330166,23173,CHAT,FATURAMENTO,2ª VIA,400,3,ANA SILVA,6.67,2025-11,False
155,2025-11-17 22:21:02.330166,17355,CHAT,FATURAMENTO,VALOR INDEVIDO,794,3,CARLOS LIMA,13.23,2025-11,True
156,2025-09-30 16:39:02.330166,64008,WHATSAPP,SUPORTE TECNICO,SEM SINAL,1456,2,JOAO SANTOS,24.27,2025-09,True
157,2025-10-14 22:51:02.330166,60140,WHATSAPP,SUPORTE TECNICO,SEM SINAL,1459,2,CARLOS LIMA,24.32,2025-10,True
158,2025-09-17 22:44:02.330166,93611,CHAT,SUPORTE TECNICO,NA,1001,3,PAULO ROCHA,16.68,2025-09,True
159,2025-12-07 01:23:02.330166,47700,WHATSAPP,FATURAMENTO,VALOR INDEVIDO,1179,2,ANA SILVA,19.65,2025-12,True
160,2025-12-22 19:03:02.330166,87014,CHAT,INFORMACOES,PROMOCAO,1368,4,PAULO ROCHA,22.8,2025-12,True
161,2025-11-26 21:08:02.330166,49599,VOZ,CANCELAMENTO,VALOR ALTO,847,4,ANA SILVA,14.12,2025-11,True
162,2025-10-08 02:43:02.330166,57049,WHATSAPP,SUPORTE TECNICO,LENTIDAO,665,3,ANA SILVA,11.08,2025-10,True
163,2025-06-27 11:19:02.330166,84177,WHATSAPP,INFORMACOES,PROMOCAO,1653,1,FERNANDA COSTA,27.55,2025-06,True
164,2025-11-14 05:12:02.330166,40162,WHATSAPP,INFORMACOES,PROMOCAO,1702,3,JOAO SANTOS,28.37,2025-11,True
165,2025-08-10 14:57:02.330166,98835,WHATSAPP,SUPORTE TECNICO,INSTABILIDADE,1631,2,PAULO ROCHA,27.18,2025-08,True
166,2025-10-21 15:51:02.330166,15167,CHAT,FATURAMENTO,2ª VIA,1675,4,ANA SILVA,27.92,2025-10,True
167,2025-07-12 09:44:02.330166,48680,CHAT,CANCELAMENTO,DESISTENCIA,1590,4,JOAO SANTOS,26.5,2025-07,True
168,2025-11-16 04:16:02.330166,80701,CHAT,SUPORTE TECNICO,SEM SINAL,1147,5,MARIA OLIVEIRA,19.12,2025-11,True
169,2025-12-09 09:29:02.330166,73156,CHAT,SUPORTE TECNICO,LENTIDAO,1588,3,ANA SILVA,26.47,2025-12,True
170,2025-07-21 14:55:02.330166,39571,WHATSAPP,INFORMACOES,PLANO,1543,4,FERNANDA COSTA,25.72,2025-07,True
171,2025-11-16 22:29:02.330166,61717,VOZ,CANCELAMENTO,DESISTENCIA,601,5,ANA SILVA,10.02,2025-11,True
172,2025-10-26 11:34:02.330166,98125,CHAT,INFORMACOES,PROMOCAO,1257,4,PAULO ROCHA,20.95,2025-10,True
173,2025-10-26 20:21:02.330166,40647,CHAT,CANCELAMENTO,DESISTENCIA,111,5,FERNANDA COSTA,1.85,2025-10,False
174,2025-10-21 21:35:02.330166,18285,WHATSAPP,CANCELAMENTO,DESISTENCIA,1747,4,PAULO ROCHA,29.12,2025-10,True
175,2025-07-17 05:42:02.330166,28320,VOZ,CANCELAMENTO,VALOR ALTO,136,3,CARLOS LIMA,2.27,2025-07,False
176,2025-08-07 17:48:02.330166,80457,VOZ,FATURAMENTO,BOLETO,855,4,MARIA OLIVEIRA,14.25,2025-08,True
177,2025-11-08 02:58:02.330166,30253,CHAT,INFORMACOES,COBERTURA,1401,1,CARLOS LIMA,23.35,2025-11,True
178,2025-07-01 22:53:02.330166,58566,VOZ,INFORMACOES,PROMOCAO,968,4,JOAO SANTOS,16.13,2025-07,True
179,2025-12-21 13:41:02.330166,99873,CHAT,CANCELAMENTO,DESISTENCIA,1175,3,ANA SILVA,19.58,2025-12,True
180,2025-07-30 13:14:02.330166,26011,CHAT,INFORMACOES,PROMOCAO,247,2,PAULO ROCHA,4.12,2025-07,False
181,2025-11-16 05:30:02.330166,53713,VOZ,FATURAMENTO,BOLETO,317,5,JOAO SANTOS,5.28,2025-11,False
182,2025-08-02 17:02:02.330166,86858,VOZ,FATURAMENTO,2ª VIA,1725,2,MARIA OLIVEIRA,28.75,2025-08,True
183,2025-06-26 12:20:02.330166,46342,VOZ,SUPORTE TECNICO,INSTABILIDADE,326,5,MARIA OLIVEIRA,5.43,2025-06,False
184,2025-10-24 08:09:02.330166,13379,VOZ,SUPORTE TECNICO,SEM SINAL,90,3,JOAO SANTOS,1.5,2025-10,False
185,2025-07-27 17:14:02.330166,44782,VOZ,CANCELAMENTO,DESISTENCIA,319,4,FERNANDA COSTA,5.32,2025-07,False
186,2025-07-07 13:38:02.330166,72422,CHAT,FATURAMENTO,2ª VIA,1653,3,FERNANDA COSTA,27.55,2025-07,True
187,2025-09-25 17:15:02.330166,39038,WHATSAPP,FATURAMENTO,VALOR INDEVIDO,148,5,MARIA OLIVEIRA,2.47,2025-09,False
188,2025-12-18 11:50:02.330166,14082,VOZ,INFORMACOES,COBERTURA,1040,4,CARLOS LIMA,17.33,2025-12,True
189,2025-11-02 16:28:02.330166,68138,VOZ,FATURAMENTO,VALOR INDEVIDO,225,3,FERNANDA COSTA,3.75,2025-11,False
190,2025-07-18 23:17:02.330166,46046,WHATSAPP,SUPORTE TECNICO,SEM SINAL,1356,5,FERNANDA COSTA,22.6,2025-07,True
191,2025-10-12 17:59:02.330166,79541,CHAT,CANCELAMENTO,VALOR ALTO,989,5,FERNANDA COSTA,16.48,2025-10,True
192,2025-11-17 09:02:02.330166,24996,WHATSAPP,INFORMACOES,PLANO,1393,5,PAULO ROCHA,23.22,2025-11,True
193,2025-09-16 04:49:02.330166,39949,CHAT,SUPORTE TECNICO,LENTIDAO,754,4,CARLOS LIMA,12.57,2025-09,True
194,2025-07-13 07:23:02.330166,50966,CHAT,INFORMACOES,COBERTURA,700,3,MARIA OLIVEIRA,11.67,2025-07,True
195,2025-12-11 00:31:02.330166,72163,VOZ,SUPORTE TECNICO,INSTABILIDADE,246,1,ANA SILVA,4.1,2025-12,False
